churn,accountlength,internationalplan,numbervmailmessages,totaldayminutes,totaldaycalls,totaleveminutes,totalevecalls,totalnightminutes,totalnightcalls,totalintlminutes,totalintlcalls,numbercustomerservicecalls
0,75.0,0,0.0,226.1,105.0,201.5,107.0,246.2,98.0,10.3,5.0,1.0
0,172.0,0,0.0,212.0,121.0,31.2,115.0,293.3,78.0,12.6,10.0,3.0
1,12.0,0,0.0,249.6,118.0,252.4,119.0,280.2,90.0,11.8,3.0,1.0
0,78.0,0,0.0,130.8,64.0,223.7,116.0,227.8,108.0,10.0,5.0,1.0
0,149.0,0,0.0,140.4,94.0,271.8,92.0,188.3,108.0,11.1,9.0,1.0
0,98.0,0,0.0,126.3,102.0,166.8,85.0,187.8,135.0,9.4,2.0,3.0
0,34.0,0,0.0,124.8,82.0,282.2,98.0,311.5,78.0,10.0,4.0,2.0
0,160.0,0,0.0,85.8,77.0,165.3,110.0,178.5,92.0,9.2,4.0,3.0
0,64.0,0,0.0,154.0,67.0,225.8,118.0,265.3,86.0,3.5,3.0,1.0
0,65.0,0,0.0,211.3,120.0,162.6,122.0,134.7,118.0,13.2,5.0,3.0
0,142.0,0,0.0,187.0,133.0,134.6,74.0,242.2,127.0,7.4,5.0,2.0
1,119.0,0,0.0,159.1,114.0,231.3,117.0,143.2,91.0,8.8,3.0,5.0
0,52.0,0,0.0,191.9,108.0,269.8,96.0,236.8,87.0,7.8,5.0,3.0
0,60.0,0,0.0,220.6,57.0,211.1,115.0,249.0,129.0,6.8,3.0,1.0
0,10.0,0,0.0,186.1,112.0,190.2,66.0,282.8,57.0,11.4,6.0,2.0
0,96.0,0,0.0,160.2,117.0,267.5,67.0,228.5,68.0,9.3,5.0,2.0
1,87.0,0,0.0,151.0,83.0,219.7,116.0,203.9,127.0,9.7,3.0,5.0
0,81.0,0,0.0,175.5,67.0,249.3,85.0,270.2,98.0,10.2,3.0,1.0
0,141.0,0,0.0,126.9,98.0,180.0,62.0,140.8,128.0,8.0,2.0,1.0
0,68.0,0,0.0,148.8,70.0,246.5,164.0,129.8,103.0,12.1,3.0,3.0
0,125.0,0,0.0,229.3,103.0,177.4,126.0,189.3,95.0,12.0,8.0,1.0
0,174.0,0,0.0,192.1,97.0,169.9,94.0,166.6,54.0,11.4,4.0,1.0
0,38.0,0,0.0,131.2,98.0,162.9,97.0,159.0,106.0,8.2,6.0,2.0
0,43.0,1,0.0,251.5,105.0,212.8,104.0,157.8,67.0,9.3,4.0,0.0
0,113.0,1,0.0,125.2,93.0,206.4,119.0,129.3,139.0,8.3,8.0,0.0
0,126.0,0,0.0,211.6,70.0,216.9,80.0,153.5,60.0,7.8,1.0,1.0
1,150.0,0,0.0,178.9,101.0,169.1,110.0,148.6,100.0,13.8,3.0,4.0
0,138.0,0,0.0,241.8,93.0,170.5,83.0,295.3,104.0,11.8,7.0,3.0
0,147.0,0,0.0,248.6,83.0,148.9,85.0,172.5,109.0,8.0,4.0,3.0
0,90.0,0,0.0,203.4,146.0,226.7,117.0,152.4,105.0,7.3,4.0,1.0
0,85.0,0,0.0,235.8,109.0,157.2,94.0,188.2,99.0,12.0,3.0,0.0
0,50.0,0,0.0,157.1,90.0,223.3,72.0,181.4,111.0,6.1,2.0,1.0
1,82.0,0,0.0,300.3,109.0,181.0,100.0,270.1,73.0,11.7,4.0,0.0
1,144.0,0,0.0,61.6,117.0,77.1,85.0,173.0,99.0,8.2,7.0,4.0
0,46.0,0,0.0,214.1,72.0,164.4,104.0,177.5,113.0,8.2,3.0,2.0
0,70.0,0,0.0,170.2,98.0,155.2,102.0,228.6,76.0,15.0,2.0,1.0
0,144.0,0,0.0,201.1,99.0,303.5,74.0,224.0,119.0,13.2,2.0,1.0
0,116.0,1,0.0,215.4,104.0,204.8,79.0,278.5,109.0,12.6,5.0,3.0
1,106.0,0,0.0,210.6,96.0,249.2,85.0,191.4,88.0,12.4,1.0,2.0
1,94.0,0,0.0,157.9,105.0,155.0,101.0,189.6,84.0,8.0,5.0,4.0
0,111.0,0,0.0,214.3,118.0,208.5,76.0,182.4,98.0,12.0,2.0,1.0
1,128.0,0,0.0,237.9,125.0,247.6,93.0,208.9,68.0,13.9,4.0,1.0
0,82.0,0,0.0,143.9,61.0,194.9,105.0,109.6,94.0,11.1,2.0,1.0
1,155.0,0,0.0,203.4,100.0,190.9,104.0,196.0,119.0,8.9,4.0,0.0
0,80.0,0,0.0,124.3,100.0,173.0,107.0,253.2,62.0,7.9,9.0,1.0
0,78.0,0,0.0,252.9,93.0,178.4,112.0,263.9,105.0,9.5,7.0,3.0
0,90.0,0,0.0,179.1,71.0,190.6,81.0,127.7,91.0,10.6,7.0,3.0
0,104.0,0,0.0,278.4,106.0,81.0,113.0,163.2,137.0,9.8,5.0,1.0
0,73.0,0,0.0,160.1,110.0,213.3,72.0,174.1,72.0,13.0,4.0,0.0
0,99.0,0,0.0,198.2,87.0,207.3,76.0,190.9,113.0,8.7,3.0,4.0
1,120.0,0,0.0,212.1,131.0,209.4,104.0,167.2,96.0,5.3,5.0,1.0
1,77.0,0,0.0,251.8,72.0,205.7,126.0,275.2,109.0,9.8,7.0,2.0
0,108.0,0,0.0,178.3,137.0,189.0,76.0,129.1,102.0,14.6,5.0,0.0
0,135.0,0,0.0,151.7,82.0,119.0,105.0,180.0,100.0,10.5,6.0,0.0
0,95.0,0,0.0,135.0,99.0,183.6,106.0,245.3,102.0,12.5,9.0,1.0
0,122.0,0,0.0,170.5,94.0,173.7,109.0,248.6,75.0,11.3,2.0,1.0
0,95.0,0,0.0,238.1,65.0,187.2,98.0,190.0,115.0,11.8,4.0,4.0
0,157.0,0,0.0,229.8,90.0,147.9,121.0,241.4,108.0,9.6,7.0,3.0
0,120.0,0,0.0,165.0,100.0,317.2,83.0,119.2,86.0,8.3,8.0,1.0
0,103.0,0,0.0,185.0,117.0,223.3,94.0,222.8,91.0,12.6,2.0,2.0
0,98.0,0,0.0,161.0,117.0,190.9,113.0,227.7,113.0,12.1,4.0,4.0
0,125.0,0,0.0,126.7,108.0,206.0,90.0,247.8,114.0,13.3,7.0,1.0
0,63.0,0,0.0,58.9,125.0,169.6,59.0,211.4,88.0,9.4,3.0,1.0
0,64.0,0,0.0,162.6,83.0,152.3,109.0,57.5,122.0,14.2,3.0,1.0
1,74.0,0,0.0,282.5,114.0,219.9,48.0,170.0,115.0,9.4,4.0,1.0
0,97.0,0,0.0,239.8,125.0,214.8,111.0,143.3,81.0,8.7,5.0,2.0
0,46.0,0,0.0,210.2,92.0,227.3,77.0,200.1,116.0,13.1,7.0,1.0
0,121.0,0,0.0,190.7,103.0,183.5,117.0,220.8,103.0,9.8,4.0,3.0
0,193.0,0,0.0,170.9,124.0,132.3,95.0,112.9,89.0,11.6,3.0,1.0
0,130.0,0,0.0,154.2,119.0,110.2,98.0,227.4,117.0,9.2,5.0,2.0
0,85.0,0,0.0,201.4,52.0,229.4,104.0,252.5,106.0,12.0,3.0,1.0
1,162.0,0,0.0,70.7,108.0,157.5,87.0,154.8,82.0,9.1,3.0,4.0
0,92.0,0,0.0,91.7,90.0,193.7,123.0,175.0,86.0,9.2,4.0,2.0
0,90.0,0,0.0,145.5,92.0,217.7,114.0,146.9,123.0,10.9,2.0,3.0
0,75.0,0,0.0,166.3,125.0,158.2,86.0,256.7,80.0,6.1,5.0,1.0
0,78.0,0,0.0,231.0,115.0,230.4,140.0,261.4,120.0,9.5,3.0,1.0
0,82.0,0,0.0,200.3,96.0,201.2,102.0,206.1,60.0,7.1,1.0,4.0
0,163.0,0,0.0,197.0,109.0,202.6,128.0,206.4,80.0,9.1,10.0,1.0
0,91.0,1,0.0,129.9,112.0,173.3,83.0,247.2,130.0,11.2,3.0,3.0
0,91.0,0,0.0,203.1,106.0,210.1,113.0,195.6,129.0,12.0,3.0,3.0
0,110.0,0,0.0,148.5,115.0,276.4,84.0,193.6,112.0,12.4,3.0,1.0
0,103.0,0,0.0,246.5,47.0,195.5,84.0,200.5,96.0,11.7,4.0,1.0
1,117.0,1,0.0,167.1,86.0,177.5,87.0,249.4,132.0,14.1,7.0,2.0
0,140.0,0,0.0,231.9,101.0,160.1,94.0,110.4,98.0,14.3,6.0,3.0
0,127.0,0,0.0,146.7,91.0,203.5,78.0,203.4,110.0,13.7,3.0,1.0
0,83.0,1,0.0,271.5,87.0,216.3,126.0,121.1,105.0,11.7,4.0,1.0
0,121.0,0,0.0,181.5,121.0,218.4,98.0,161.6,103.0,8.5,5.0,1.0
0,113.0,0,0.0,193.8,99.0,221.4,125.0,172.3,67.0,10.6,6.0,1.0
0,117.0,0,0.0,102.8,119.0,206.7,91.0,299.0,105.0,10.1,7.0,1.0
0,65.0,0,0.0,187.9,116.0,157.6,117.0,227.3,86.0,7.5,6.0,1.0
0,56.0,0,0.0,226.0,112.0,248.5,118.0,140.5,142.0,6.9,11.0,1.0
0,96.0,0,0.0,260.4,115.0,146.0,46.0,269.5,87.0,11.5,4.0,5.0
0,151.0,0,0.0,178.7,116.0,292.1,138.0,265.9,101.0,9.8,4.0,0.0
1,83.0,0,0.0,337.4,120.0,227.4,116.0,153.9,114.0,15.8,7.0,0.0
0,6.0,0,0.0,183.6,117.0,256.7,72.0,178.6,79.0,10.2,2.0,1.0
0,87.0,0,0.0,136.3,97.0,172.2,108.0,137.5,101.0,7.1,5.0,0.0
0,141.0,0,0.0,217.1,110.0,241.5,111.0,253.5,103.0,12.0,6.0,0.0
0,62.0,0,0.0,98.9,103.0,135.4,122.0,236.6,82.0,12.2,1.0,1.0
0,146.0,0,0.0,206.3,151.0,148.6,89.0,167.2,91.0,6.1,3.0,1.0
0,148.0,0,0.0,202.0,102.0,243.2,128.0,261.3,90.0,10.9,3.0,1.0
0,32.0,0,0.0,230.9,87.0,187.4,90.0,154.0,53.0,6.3,2.0,0.0
0,68.0,0,0.0,237.1,105.0,223.5,105.0,97.4,79.0,13.2,2.0,1.0
0,25.0,0,0.0,119.3,87.0,211.5,101.0,268.9,86.0,10.5,4.0,3.0
0,65.0,0,0.0,116.8,87.0,178.9,93.0,182.4,150.0,14.1,2.0,1.0
0,179.0,0,0.0,219.2,92.0,149.4,125.0,244.7,104.0,6.1,5.0,0.0
0,94.0,0,0.0,252.6,104.0,169.0,125.0,170.9,106.0,11.1,7.0,2.0
0,62.0,0,0.0,147.1,91.0,190.4,107.0,195.2,115.0,12.2,3.0,0.0
0,127.0,0,0.0,202.1,103.0,229.4,86.0,195.2,113.0,11.5,3.0,2.0
0,116.0,0,0.0,173.5,93.0,194.1,76.0,208.0,112.0,16.2,10.0,3.0
0,70.0,0,0.0,232.1,122.0,292.3,112.0,201.2,112.0,0.0,0.0,3.0
1,126.0,0,0.0,58.2,94.0,138.7,118.0,136.8,91.0,11.9,1.0,5.0
0,19.0,0,0.0,186.1,98.0,254.3,57.0,214.0,127.0,14.6,7.0,2.0
0,170.0,1,0.0,259.9,68.0,245.0,122.0,134.4,121.0,8.4,3.0,3.0
0,73.0,0,0.0,214.3,145.0,268.5,135.0,241.2,92.0,10.8,13.0,1.0
0,106.0,0,0.0,158.7,74.0,64.3,139.0,198.5,103.0,10.2,4.0,1.0
0,93.0,0,0.0,271.6,71.0,229.4,108.0,77.3,121.0,10.9,3.0,2.0
0,164.0,0,0.0,160.6,111.0,163.2,126.0,187.1,112.0,9.0,3.0,1.0
0,51.0,0,0.0,232.4,109.0,187.4,95.0,231.2,107.0,9.1,3.0,1.0
0,107.0,0,0.0,133.8,85.0,180.5,94.0,112.2,115.0,8.9,4.0,0.0
0,130.0,0,0.0,176.9,109.0,90.7,104.0,238.0,69.0,9.5,2.0,1.0
0,80.0,0,0.0,209.9,74.0,195.1,77.0,208.2,119.0,8.8,4.0,2.0
0,94.0,0,0.0,137.5,118.0,203.2,88.0,150.0,131.0,13.4,2.0,0.0
0,78.0,0,0.0,149.7,119.0,182.2,115.0,261.5,126.0,9.7,8.0,0.0
1,208.0,0,0.0,326.5,67.0,176.3,113.0,181.7,102.0,10.7,6.0,2.0
0,63.0,0,0.0,83.0,64.0,177.0,106.0,245.7,89.0,13.0,3.0,0.0
0,62.0,0,0.0,182.3,101.0,328.2,93.0,245.0,131.0,11.2,1.0,2.0
0,97.0,0,0.0,218.0,86.0,184.0,94.0,240.5,110.0,6.4,8.0,3.0
0,105.0,0,0.0,140.6,109.0,178.6,51.0,217.0,83.0,6.8,3.0,2.0
0,157.0,0,0.0,152.7,105.0,257.5,80.0,198.1,93.0,9.4,4.0,1.0
0,122.0,0,0.0,243.8,98.0,83.9,72.0,179.8,84.0,13.7,8.0,2.0
0,38.0,0,0.0,194.4,94.0,186.7,95.0,223.3,90.0,10.8,5.0,3.0
0,106.0,0,0.0,213.9,95.0,151.9,70.0,260.1,124.0,12.2,5.0,3.0
0,99.0,0,0.0,217.2,112.0,246.7,89.0,226.1,89.0,15.8,7.0,3.0
0,99.0,0,0.0,241.1,72.0,155.6,98.0,188.2,109.0,11.6,10.0,1.0
0,144.0,1,0.0,203.5,100.0,247.6,103.0,194.3,94.0,11.9,11.0,0.0
1,70.0,1,0.0,226.7,98.0,228.1,115.0,73.2,93.0,17.6,4.0,2.0
0,93.0,0,0.0,179.3,93.0,178.6,98.0,225.2,131.0,11.5,6.0,3.0
0,93.0,0,0.0,151.4,89.0,186.4,76.0,172.5,120.0,10.9,3.0,0.0
0,120.0,0,0.0,180.0,80.0,224.2,82.0,265.4,91.0,4.7,7.0,3.0
1,136.0,0,0.0,250.2,121.0,267.1,118.0,151.0,114.0,13.0,2.0,1.0
0,106.0,0,0.0,223.0,121.0,110.1,98.0,188.7,107.0,7.1,12.0,0.0
0,81.0,0,0.0,183.6,116.0,152.6,98.0,212.2,99.0,12.2,6.0,3.0
0,65.0,0,0.0,136.1,112.0,272.9,96.0,220.2,104.0,4.4,2.0,1.0
0,35.0,0,0.0,149.3,113.0,242.2,122.0,174.3,104.0,8.9,6.0,2.0
0,88.0,0,0.0,65.4,97.0,168.2,76.0,236.0,113.0,13.8,1.0,2.0
0,65.0,0,0.0,213.4,111.0,234.5,94.0,250.1,123.0,2.7,4.0,1.0
0,123.0,0,0.0,206.9,85.0,244.7,78.0,221.5,136.0,7.7,2.0,3.0
1,93.0,1,0.0,312.0,109.0,129.4,100.0,217.6,74.0,10.5,2.0,0.0
0,100.0,0,0.0,203.1,96.0,217.0,126.0,180.9,122.0,13.5,2.0,3.0
0,53.0,0,0.0,168.8,97.0,220.3,87.0,154.3,113.0,10.9,2.0,0.0
0,92.0,1,0.0,173.1,140.0,240.3,105.0,233.2,117.0,9.0,5.0,1.0
1,139.0,0,0.0,134.4,106.0,211.3,98.0,193.6,125.0,10.2,2.0,5.0
0,110.0,0,0.0,74.5,117.0,200.8,98.0,192.2,101.0,9.8,7.0,3.0
0,215.0,0,0.0,83.6,148.0,120.9,91.0,226.6,110.0,10.7,9.0,0.0
0,73.0,0,0.0,192.2,86.0,168.6,116.0,139.8,87.0,9.4,6.0,1.0
0,138.0,0,0.0,220.2,89.0,88.3,125.0,195.3,79.0,12.9,5.0,0.0
1,137.0,1,0.0,135.1,95.0,134.1,102.0,223.1,81.0,12.3,2.0,2.0
0,36.0,0,0.0,253.4,77.0,182.4,151.0,275.8,103.0,8.4,2.0,1.0
0,85.0,0,0.0,225.0,81.0,176.9,63.0,194.3,110.0,7.1,2.0,3.0
1,108.0,0,0.0,198.5,99.0,267.8,60.0,354.9,75.0,9.4,3.0,0.0
0,22.0,0,0.0,110.3,107.0,166.5,93.0,202.3,96.0,9.5,5.0,0.0
0,51.0,0,0.0,214.8,94.0,149.7,58.0,283.4,66.0,10.2,5.0,0.0
0,94.0,0,0.0,181.8,85.0,202.4,98.0,245.9,97.0,9.2,2.0,4.0
0,106.0,0,0.0,207.9,91.0,172.0,109.0,191.8,143.0,14.4,7.0,4.0
0,82.0,0,0.0,207.0,90.0,232.9,83.0,172.4,108.0,9.1,8.0,3.0
0,97.0,1,0.0,143.7,117.0,273.0,82.0,178.3,81.0,10.9,3.0,0.0
0,108.0,0,0.0,138.6,122.0,172.3,117.0,231.6,92.0,9.8,3.0,1.0
0,114.0,0,0.0,84.7,118.0,249.9,86.0,193.4,95.0,14.5,8.0,1.0
1,92.0,1,0.0,62.6,111.0,180.6,126.0,221.7,80.0,10.4,2.0,1.0
0,59.0,0,0.0,155.2,79.0,235.3,123.0,169.4,80.0,8.7,4.0,1.0
0,151.0,0,0.0,134.5,88.0,143.1,112.0,223.9,61.0,15.4,1.0,1.0
0,117.0,0,0.0,143.3,103.0,211.3,108.0,185.2,96.0,11.5,3.0,1.0
0,78.0,0,0.0,168.3,110.0,221.2,73.0,241.0,136.0,12.5,1.0,1.0
0,155.0,0,0.0,262.4,55.0,194.6,113.0,146.5,85.0,8.3,6.0,2.0
0,119.0,0,0.0,138.3,89.0,170.5,78.0,263.9,98.0,13.5,6.0,3.0
0,118.0,1,0.0,160.0,123.0,175.4,96.0,184.8,99.0,9.9,3.0,2.0
0,101.0,0,0.0,206.6,105.0,224.9,117.0,249.9,100.0,14.6,3.0,0.0
0,117.0,0,0.0,134.7,121.0,180.0,83.0,200.9,104.0,7.7,3.0,1.0
0,139.0,0,0.0,192.8,104.0,234.4,96.0,203.2,101.0,13.0,3.0,3.0
0,83.0,0,0.0,221.4,103.0,231.8,103.0,122.5,100.0,9.8,5.0,3.0
0,148.0,1,0.0,218.9,88.0,208.0,85.0,203.3,99.0,11.1,4.0,0.0
0,146.0,1,0.0,204.4,135.0,219.1,90.0,222.7,114.0,10.5,6.0,3.0
0,143.0,0,0.0,172.3,97.0,174.0,108.0,188.2,119.0,13.0,4.0,2.0
0,81.0,0,0.0,198.4,93.0,210.9,108.0,193.3,71.0,10.4,6.0,2.0
0,71.0,0,0.0,197.9,108.0,181.5,109.0,281.4,56.0,6.7,5.0,3.0
0,137.0,0,0.0,206.4,122.0,128.0,102.0,194.5,84.0,8.8,5.0,2.0
0,137.0,0,0.0,205.9,88.0,209.3,86.0,289.9,84.0,14.5,4.0,2.0
0,167.0,0,0.0,207.6,88.0,132.4,63.0,255.2,98.0,14.1,5.0,0.0
1,89.0,0,0.0,303.9,95.0,260.9,114.0,312.1,89.0,5.3,3.0,1.0
0,132.0,0,0.0,99.5,110.0,129.1,80.0,125.1,124.0,9.7,3.0,0.0
0,94.0,0,0.0,177.1,112.0,194.0,112.0,146.7,108.0,5.9,4.0,1.0
0,166.0,0,0.0,204.2,115.0,179.9,152.0,216.8,109.0,9.5,5.0,1.0
0,74.0,0,0.0,85.7,83.0,247.7,67.0,142.4,85.0,10.1,5.0,2.0
0,36.0,0,0.0,157.6,117.0,184.3,58.0,240.4,99.0,11.9,1.0,0.0
0,113.0,0,0.0,215.5,129.0,218.7,117.0,207.1,91.0,6.6,9.0,4.0
0,94.0,0,0.0,181.5,98.0,199.9,88.0,287.7,114.0,6.6,5.0,1.0
0,67.0,0,0.0,171.7,80.0,110.4,81.0,195.4,111.0,11.9,4.0,2.0
1,127.0,0,0.0,266.6,106.0,264.8,168.0,207.2,119.0,5.9,2.0,1.0
1,121.0,0,0.0,170.4,108.0,350.5,68.0,297.0,87.0,11.2,3.0,0.0
0,158.0,0,0.0,158.0,106.0,292.5,114.0,241.1,89.0,9.1,4.0,1.0
0,136.0,0,0.0,92.0,117.0,253.6,77.0,214.1,90.0,10.3,10.0,1.0
0,196.0,0,0.0,234.0,109.0,249.5,114.0,173.1,70.0,9.1,5.0,2.0
1,113.0,0,0.0,272.1,111.0,268.5,118.0,213.8,105.0,8.5,10.0,1.0
1,122.0,0,0.0,296.4,99.0,214.8,89.0,133.9,107.0,11.4,3.0,4.0
0,112.0,0,0.0,194.4,101.0,190.3,82.0,183.4,107.0,11.4,2.0,0.0
0,209.0,0,0.0,227.2,128.0,258.4,92.0,183.5,74.0,8.9,4.0,3.0
1,62.0,0,0.0,248.7,109.0,220.0,118.0,265.7,78.0,13.2,2.0,1.0
0,16.0,0,0.0,205.6,69.0,169.5,93.0,220.1,64.0,10.9,3.0,0.0
0,73.0,0,0.0,94.1,136.0,280.3,122.0,205.0,77.0,9.8,4.0,0.0
0,128.0,0,0.0,125.2,99.0,205.4,107.0,254.4,111.0,18.9,2.0,0.0
0,39.0,0,0.0,60.4,158.0,306.2,120.0,123.9,46.0,12.4,3.0,1.0
0,86.0,0,0.0,176.3,79.0,259.2,97.0,287.4,78.0,6.2,3.0,0.0
0,104.0,0,0.0,138.7,107.0,256.9,113.0,234.9,74.0,10.0,3.0,0.0
0,148.0,0,0.0,86.3,134.0,246.6,92.0,251.6,91.0,11.3,4.0,1.0
0,129.0,0,0.0,207.0,91.0,154.9,121.0,245.1,112.0,13.4,5.0,3.0
0,76.0,0,0.0,198.3,130.0,217.1,86.0,188.4,96.0,12.5,3.0,0.0
0,158.0,0,0.0,205.2,97.0,240.6,77.0,79.7,108.0,14.4,12.0,0.0
0,116.0,0,0.0,192.1,98.0,312.9,135.0,130.2,94.0,7.9,2.0,3.0
1,54.0,0,0.0,272.6,83.0,248.7,74.0,197.4,111.0,9.5,2.0,1.0
1,86.0,0,0.0,128.3,121.0,197.1,93.0,138.4,152.0,12.2,5.0,7.0
0,108.0,0,0.0,169.6,99.0,264.1,87.0,206.3,78.0,9.3,4.0,0.0
0,66.0,0,0.0,201.3,95.0,152.8,66.0,233.2,101.0,7.5,4.0,1.0
0,99.0,0,0.0,169.2,70.0,271.5,77.0,170.2,104.0,10.6,2.0,0.0
0,55.0,0,0.0,194.1,121.0,176.6,110.0,302.8,136.0,7.0,7.0,2.0
0,77.0,0,0.0,233.8,104.0,266.5,94.0,212.7,104.0,7.6,3.0,2.0
0,78.0,0,0.0,225.1,67.0,199.2,127.0,175.5,102.0,14.6,2.0,0.0
1,89.0,0,0.0,213.0,63.0,176.6,71.0,262.6,126.0,9.1,1.0,1.0
0,101.0,0,0.0,183.9,115.0,255.9,101.0,275.0,145.0,10.8,11.0,1.0
0,141.0,0,0.0,260.2,131.0,179.2,120.0,135.0,119.0,7.2,8.0,3.0
0,162.0,0,0.0,220.6,117.0,155.2,121.0,186.7,89.0,10.5,11.0,1.0
1,100.0,0,0.0,107.0,63.0,105.7,67.0,243.1,74.0,12.8,3.0,4.0
0,59.0,0,0.0,182.5,104.0,204.7,95.0,229.9,100.0,11.3,8.0,4.0
0,79.0,0,0.0,152.2,112.0,177.2,132.0,96.4,87.0,5.3,3.0,1.0
0,117.0,0,0.0,181.5,95.0,205.1,88.0,204.0,82.0,14.7,9.0,2.0
1,64.0,1,0.0,236.2,77.0,218.6,85.0,194.1,97.0,13.2,2.0,2.0
0,31.0,0,0.0,166.1,105.0,79.3,93.0,213.7,98.0,12.7,2.0,1.0
0,124.0,1,0.0,244.6,89.0,188.8,80.0,206.0,114.0,11.3,4.0,1.0
1,159.0,1,0.0,257.1,53.0,312.2,127.0,183.0,82.0,8.8,6.0,1.0
0,148.0,0,0.0,124.4,83.0,179.7,81.0,253.0,99.0,11.3,6.0,0.0
0,77.0,0,0.0,230.0,87.0,103.2,138.0,309.6,136.0,11.3,3.0,2.0
0,194.0,0,0.0,162.3,88.0,213.7,118.0,192.1,81.0,10.9,2.0,0.0
1,154.0,0,0.0,350.8,75.0,216.5,94.0,253.9,100.0,10.1,9.0,1.0
0,112.0,0,0.0,193.3,96.0,264.1,123.0,128.6,115.0,9.1,3.0,4.0
0,45.0,0,0.0,78.2,127.0,253.4,108.0,255.0,100.0,18.0,3.0,1.0
0,132.0,0,0.0,83.4,110.0,232.2,137.0,146.7,114.0,7.6,5.0,1.0
0,128.0,0,0.0,195.6,99.0,267.8,120.0,164.9,76.0,16.0,2.0,0.0
0,135.0,0,0.0,201.8,81.0,225.0,114.0,204.4,82.0,10.3,6.0,1.0
0,56.0,0,0.0,197.0,110.0,222.8,102.0,225.3,91.0,10.6,6.0,2.0
1,151.0,1,0.0,218.0,57.0,114.4,88.0,269.2,95.0,12.4,1.0,0.0
0,32.0,0,0.0,164.8,98.0,229.9,96.0,167.3,108.0,14.8,2.0,2.0
0,90.0,0,0.0,179.2,77.0,210.7,99.0,276.9,58.0,9.2,6.0,2.0
0,138.0,0,0.0,170.5,87.0,118.2,116.0,187.9,111.0,11.2,7.0,2.0
0,79.0,0,0.0,205.7,123.0,214.5,108.0,226.1,106.0,6.7,18.0,1.0
1,95.0,1,0.0,165.5,84.0,286.2,112.0,198.9,89.0,11.5,2.0,1.0
0,127.0,0,0.0,221.0,100.0,160.7,113.0,233.1,96.0,6.8,4.0,2.0
0,137.0,0,0.0,242.1,118.0,191.0,93.0,218.6,50.0,14.7,2.0,3.0
0,97.0,0,0.0,151.6,107.0,155.4,96.0,240.0,112.0,14.7,4.0,1.0
0,149.0,1,0.0,176.2,87.0,145.0,81.0,249.5,92.0,5.7,4.0,0.0
0,84.0,0,0.0,159.5,125.0,247.1,90.0,187.9,82.0,7.2,4.0,2.0
0,137.0,0,0.0,230.2,113.0,220.4,79.0,204.7,111.0,10.7,7.0,4.0
0,99.0,0,0.0,146.7,64.0,274.0,99.0,321.3,98.0,8.9,1.0,3.0
0,54.0,0,0.0,210.5,102.0,204.5,83.0,127.8,53.0,8.5,5.0,1.0
0,85.0,0,0.0,102.0,95.0,270.2,139.0,148.2,105.0,10.7,3.0,1.0
